WF,1.000
VA,1.000
SY,1.000
SJ,1.000
PM,1.000
NU,1.000
NF,1.000
KP,1.000
IO,1.000
GS,1.000
ER,1.000
DJ,0.999
CU,0.999
MH,0.992
VC,0.988
GL,0.985
AD,0.978
IR,0.973
BL,0.973
YE,0.937
MC,0.918
ET,0.916
SB,0.876
CK,0.875
UY,0.862
NR,0.851
AW,0.851
PW,0.835
SR,0.810
SM,0.809
MO,0.800
GD,0.793
GW,0.786
AX,0.783
KI,0.780
YT,0.774
FK,0.762
BQ,0.716
AS,0.698
GG,0.679
BI,0.672
EH,0.643
ST,0.638
SN,0.638
VI,0.637
AE,0.629
CV,0.624
FM,0.618
BB,0.615
FO,0.605
MP,0.599
GY,0.587
DM,0.584
MU,0.577
TM,0.573
BT,0.573
BS,0.570
MA,0.560
LC,0.550
MS,0.548
BN,0.548
JM,0.532
GH,0.530
BJ,0.528
TV,0.524
AG,0.522
MR,0.510
ML,0.505
WS,0.503
LR,0.503
IM,0.489
GN,0.483
BM,0.483
HT,0.473
TO,0.472
MV,0.469
CW,0.465
EG,0.453
PF,0.451
MZ,0.447
SL,0.446
SX,0.444
FJ,0.444
MW,0.440
JE,0.435
OM,0.429
VG,0.426
SS,0.426
PR,0.419
MN,0.416
MG,0.410
CM,0.410
LA,0.406
AO,0.402
QA,0.396
PG,0.396
TD,0.387
ZM,0.383
TC,0.382
PY,0.382
GA,0.380
DZ,0.378
NI,0.376
KM,0.374
NA,0.372
MT,0.372
VU,0.368
BY,0.367
NG,0.358
BF,0.355
SZ,0.352
TG,0.349
CI,0.347
BH,0.344
ME,0.343
LK,0.343
SH,0.339
UG,0.336
KE,0.336
DO,0.336
RO,0.332
GI,0.332
TL,0.330
BO,0.329
NE,0.325
SD,0.323
IN,0.323
LI,0.320
GQ,0.313
PE,0.311
GE,0.309
BZ,0.308
BE,0.306
PA,0.305
KW,0.305
RW,0.304
VN,0.296
MF,0.295
MK,0.293
EE,0.291
SO,0.290
TT,0.289
CF,0.288
VE,0.284
LY,0.284
GF,0.281
LS,0.278
MM,0.275
PT,0.272
IS,0.271
SV,0.269
FI,0.266
BW,0.264
CG,0.263
SA,0.260
GR,0.260
KH,0.259
IQ,0.256
GT,0.246
SC,0.244
ZW,0.240
KY,0.239
JO,0.239
SI,0.238
HU,0.236
HR,0.236
KR,0.232
UZ,0.231
TJ,0.229
RS,0.223
TN,0.221
LT,0.217
RE,0.204
MD,0.204
KZ,0.203
TW,0.202
AU,0.201
TZ,0.200
MY,0.199
CH,0.198
KN,0.195
PH,0.194
BA,0.193
NZ,0.190
LU,0.190
DE,0.187
SK,0.186
CN,0.182
AI,0.178
PS,0.175
AT,0.174
NO,0.173
CD,0.170
ID,0.168
ES,0.166
MX,0.165
CR,0.165
DK,0.164
AM,0.163
AR,0.161
AF,0.160
IT,0.159
NP,0.157
NL,0.153
CY,0.150
MQ,0.149
LV,0.149
FR,0.149
CL,0.147
HN,0.145
IL,0.143
AZ,0.142
SE,0.141
KG,0.139
GM,0.136
TR,0.134
IE,0.133
TH,0.128
BD,0.127
CO,0.125
EC,0.121
HK,0.115
GU,0.113
PK,0.112
NC,0.112
BG,0.109
CZ,0.106
GB,0.105
PL,0.098
CA,0.094
JP,0.087
ZA,0.083
GP,0.081
AL,0.072
SG,0.069
LB,0.067
UA,0.052
US,0.050
RU,0.047
BR,0.018
